Industry;PermId;HierarchicalId;Ticker;Name;MarketCapitalization;TTM Sales$;Employees;Companies URL
Integrated Oil & Gas;4294952995;50102010;G3EG.L;G3 Exploration Ltd;99.406;19.792;125;https://www.reuters.com/finance/stocks/overview?symbol=G3EG.L;
Integrated Oil & Gas;4294952995;50102010;PRHR.PK;PetroShare Corp;36.034;9.003;2;https://www.reuters.com/finance/stocks/overview?symbol=PRHR.PK;
Integrated Oil & Gas;4294952995;50102010;EUENF.PK;Eurasia Energy Ltd;0.567;0.000;0;https://www.reuters.com/finance/stocks/overview?symbol=EUENF.PK;
Integrated Oil & Gas;4294952995;50102010;CETG.PK;Capital City Energy Group Inc;0.258;0.427;42;https://www.reuters.com/finance/stocks/overview?symbol=CETG.PK;
Integrated Oil & Gas;4294952995;50102010;GMNI.PK;Gemini Group Global Corp;0.002;--;4;https://www.reuters.com/finance/stocks/overview?symbol=GMNI.PK;
Integrated Oil & Gas;4294952995;50102010;EMO.N;ClearBridge Energy MLP Opportunity Fund Inc;--;--;--;https://www.reuters.com/finance/stocks/overview?symbol=EMO.N;
Integrated Oil & Gas;4294952995;50102010;ONVI.BO;ONGC Videsh Ltd;--;--;--;https://www.reuters.com/finance/stocks/overview?symbol=ONVI.BO;
Integrated Oil & Gas;4294952995;50102010;IPO-ATHA.L;Athabasca Resources Ltd;--;--;--;https://www.reuters.com/finance/stocks/overview?symbol=IPO-ATHA.L;
Oil & Gas Exploration and Production;4294952994;50102020;1605.T;Inpex Corp;2,183,249.000;932,688.000;3,228;https://www.reuters.com/finance/stocks/overview?symbol=1605.T;
Oil & Gas Exploration and Production;4294952994;50102020;1662.T;Japan Petroleum Exploration Co Ltd;183,466.797;228,018.000;1,825;https://www.reuters.com/finance/stocks/overview?symbol=1662.T;
Oil & Gas Exploration and Production;4294952994;50102020;COP.N;ConocoPhillips;71,432.070;27,969.000;11,600;https://www.reuters.com/finance/stocks/overview?symbol=COP.N;
Oil & Gas Exploration and Production;4294952994;50102020;EOG.N;EOG Resources Inc;66,130.930;10,199.760;2,650;https://www.reuters.com/finance/stocks/overview?symbol=EOG.N;
Oil & Gas Exploration and Production;4294952994;50102020;OXY.N;Occidental Petroleum Corp;57,814.289;11,951.000;11,000;https://www.reuters.com/finance/stocks/overview?symbol=OXY.N;
Oil & Gas Exploration and Production;4294952994;50102020;1663.T;K&O Energy Group Inc;56,030.699;58,621.000;544;https://www.reuters.com/finance/stocks/overview?symbol=1663.T;
Oil & Gas Exploration and Production;4294952994;50102020;WPZ.N;Williams Partners LP;41,436.121;7,977.000;5,604;https://www.reuters.com/finance/stocks/overview?symbol=WPZ.N;
Oil & Gas Exploration and Production;4294952994;50102020;APC.N;Anadarko Petroleum Corp;31,844.570;10,504.000;4,500;https://www.reuters.com/finance/stocks/overview?symbol=APC.N;
Oil & Gas Exploration and Production;4294952994;50102020;PXD.N;Pioneer Natural Resources Co;31,156.770;5,378.000;3,604;https://www.reuters.com/finance/stocks/overview?symbol=PXD.N;
Oil & Gas Exploration and Production;4294952994;50102020;CXO.N;Concho Resources Inc;23,224.830;2,330.577;1,085;https://www.reuters.com/finance/stocks/overview?symbol=CXO.N;
Oil & Gas Exploration and Production;4294952994;50102020;DVN.N;Devon Energy Corp;22,518.320;12,774.000;5,000;https://www.reuters.com/finance/stocks/overview?symbol=DVN.N;
Oil & Gas Exploration and Production;4294952994;50102020;CLR.N;Continental Resources Inc;20,700.840;2,623.345;1,080;https://www.reuters.com/finance/stocks/overview?symbol=CLR.N;
Oil & Gas Exploration and Production;4294952994;50102020;APA.N;Apache Corp;17,542.410;5,672.000;3,727;https://www.reuters.com/finance/stocks/overview?symbol=APA.N;
Oil & Gas Exploration and Production;4294952994;50102020;MRO.N;Marathon Oil Corp;15,786.750;4,638.000;2,117;https://www.reuters.com/finance/stocks/overview?symbol=MRO.N;
Oil & Gas Exploration and Production;4294952994;50102020;NBL.N;Noble Energy Inc;15,420.580;4,065.000;2,274;https://www.reuters.com/finance/stocks/overview?symbol=NBL.N;
Oil & Gas Exploration and Production;4294952994;50102020;EQT.N;EQT Corp;14,888.990;2,627.751;1,809;https://www.reuters.com/finance/stocks/overview?symbol=EQT.N;
Oil & Gas Exploration and Production;4294952994;50102020;COG.N;Cabot Oil & Gas Corp;12,723.610;1,680.207;421;https://www.reuters.com/finance/stocks/overview?symbol=COG.N;
Oil & Gas Exploration and Production;4294952994;50102020;XEC.N;Cimarex Energy Co;11,816.160;1,749.464;856;https://www.reuters.com/finance/stocks/overview?symbol=XEC.N;
Oil & Gas Exploration and Production;4294952994;50102020;BDFH.PK;Four G Holding Corp;9,990.006;0.028;0;https://www.reuters.com/finance/stocks/overview?symbol=BDFH.PK;
Oil & Gas Exploration and Production;4294952994;50102020;PE.N;Parsley Energy Inc;9,180.138;812.086;298;https://www.reuters.com/finance/stocks/overview?symbol=PE.N;
Oil & Gas Exploration and Production;4294952994;50102020;AVOGF.PK;Avner Oil Exploration LP;8,448.166;795.411;14;https://www.reuters.com/finance/stocks/overview?symbol=AVOGF.PK;
Oil & Gas Exploration and Production;4294952994;50102020;MJMD.PK;MediJane Holdings Inc;7,630.690;0.041;--;https://www.reuters.com/finance/stocks/overview?symbol=MJMD.PK;
Oil & Gas Exploration and Production;4294952994;50102020;EQGP.N;EQT GP Holdings LP;7,569.732;821.758;--;https://www.reuters.com/finance/stocks/overview?symbol=EQGP.N;
Oil & Gas Exploration and Production;4294952994;50102020;NFX.N;Newfield Exploration Co;6,651.297;1,673.000;994;https://www.reuters.com/finance/stocks/overview?symbol=NFX.N;
Oil & Gas Exploration and Production;4294952994;50102020;RSPP.N;RSP Permian Inc;6,553.322;677.620;115;https://www.reuters.com/finance/stocks/overview?symbol=RSPP.N;
Oil & Gas Exploration and Production;4294952994;50102020;WPX.N;WPX Energy Inc;5,928.557;1,186.000;650;https://www.reuters.com/finance/stocks/overview?symbol=WPX.N;
Oil & Gas Exploration and Production;4294952994;50102020;MUR.N;Murphy Oil Corp;5,919.250;2,100.699;1,294;https://www.reuters.com/finance/stocks/overview?symbol=MUR.N;
Oil & Gas Exploration and Production;4294952994;50102020;AR.N;Antero Resources Corp;5,914.953;2,692.429;583;https://www.reuters.com/finance/stocks/overview?symbol=AR.N;
Oil & Gas Exploration and Production;4294952994;50102020;EGN.N;Energen Corp;5,587.168;803.769;390;https://www.reuters.com/finance/stocks/overview?symbol=EGN.N;
Oil & Gas Exploration and Production;4294952994;50102020;0RQ8.L;FLEX LNG Ltd;4,573.794;153.122;1;https://www.reuters.com/finance/stocks/overview?symbol=0RQ8.L;
Oil & Gas Exploration and Production;4294952994;50102020;TPL.N;Texas Pacific Land Trust;4,400.319;111.617;10;https://www.reuters.com/finance/stocks/overview?symbol=TPL.N;
Oil & Gas Exploration and Production;4294952994;50102020;RRC.N;Range Resources Corp;3,990.080;2,247.251;762;https://www.reuters.com/finance/stocks/overview?symbol=RRC.N;
Oil & Gas Exploration and Production;4294952994;50102020;BSM.N;Black Stone Minerals LP;3,685.854;390.929;108;https://www.reuters.com/finance/stocks/overview?symbol=BSM.N;
Oil & Gas Exploration and Production;4294952994;50102020;LNGG.PK;Linn Energy Inc;3,616.285;857.670;1,500;https://www.reuters.com/finance/stocks/overview?symbol=LNGG.PK;
Oil & Gas Exploration and Production;4294952994;50102020;CHK.N;Chesapeake Energy Corp;3,589.309;8,998.000;3,300;https://www.reuters.com/finance/stocks/overview?symbol=CHK.N;
Oil & Gas Exploration and Production;4294952994;50102020;MTDR.N;Matador Resources Co;3,433.433;477.980;165;https://www.reuters.com/finance/stocks/overview?symbol=MTDR.N;
Oil & Gas Exploration and Production;4294952994;50102020;TLW.L;Tullow Oil PLC;2,956.769;1,199.503;1,338;https://www.reuters.com/finance/stocks/overview?symbol=TLW.L;
Oil & Gas Exploration and Production;4294952994;50102020;SM.N;SM Energy Co;2,826.320;1,266.642;607;https://www.reuters.com/finance/stocks/overview?symbol=SM.N;
Oil & Gas Exploration and Production;4294952994;50102020;WLL.N;Whiting Petroleum Corp;2,714.604;1,349.718;850;https://www.reuters.com/finance/stocks/overview?symbol=WLL.N;
Oil & Gas Exploration and Production;4294952994;50102020;KOS.N;Kosmos Energy Ltd;2,686.552;547.153;270;https://www.reuters.com/finance/stocks/overview?symbol=KOS.N;
Oil & Gas Exploration and Production;4294952994;50102020;SWN.N;Southwestern Energy Co;2,633.868;3,078.000;1,469;https://www.reuters.com/finance/stocks/overview?symbol=SWN.N;
Oil & Gas Exploration and Production;4294952994;50102020;LBRT.N;Liberty Oilfield Services Inc;2,623.313;1,196.643;1,859;https://www.reuters.com/finance/stocks/overview?symbol=LBRT.N;
Oil & Gas Exploration and Production;4294952994;50102020;LPI.N;Laredo Petroleum Inc;2,614.285;766.139;324;https://www.reuters.com/finance/stocks/overview?symbol=LPI.N;
Oil & Gas Exploration and Production;4294952994;50102020;CPE.N;Callon Petroleum Co;2,534.960;317.341;121;https://www.reuters.com/finance/stocks/overview?symbol=CPE.N;
Oil & Gas Exploration and Production;4294952994;50102020;SRCI.A;SRC Energy Inc;2,273.413;262.382;96;https://www.reuters.com/finance/stocks/overview?symbol=SRCI.A;
Oil & Gas Exploration and Production;4294952994;50102020;OAS.N;Oasis Petroleum Inc;2,097.848;1,061.946;477;https://www.reuters.com/finance/stocks/overview?symbol=OAS.N;
Oil & Gas Exploration and Production;4294952994;50102020;0R47.L;RAK Petroleum PLC;1,898.553;0.000;8;https://www.reuters.com/finance/stocks/overview?symbol=0R47.L;
Oil & Gas Exploration and Production;4294952994;50102020;UNT.N;Unit Corp;1,346.316;709.073;1,216;https://www.reuters.com/finance/stocks/overview?symbol=UNT.N;
Oil & Gas Exploration and Production;4294952994;50102020;CNE.L;Cairn Energy PLC;1,239.034;7.798;156;https://www.reuters.com/finance/stocks/overview?symbol=CNE.L;
Oil & Gas Exploration and Production;4294952994;50102020;HK.N;Halcon Resources Corp;1,202.752;482.943;245;https://www.reuters.com/finance/stocks/overview?symbol=HK.N;
Oil & Gas Exploration and Production;4294952994;50102020;GUJA.BO;Gujarat Natural Resources Ltd;1,083.109;76.746;--;https://www.reuters.com/finance/stocks/overview?symbol=GUJA.BO;
Oil & Gas Exploration and Production;4294952994;50102020;DNR.N;Denbury Resources Inc;983.432;1,074.816;897;https://www.reuters.com/finance/stocks/overview?symbol=DNR.N;
