Industry;PermId;HierarchicalId;Thomson Reuters Company Ranking URL
Computer Hardware;4294952832;57106010;https://www.reuters.com/sectors/industries/rankings?industryCode=169
Office Equipment;4294952831;57105010;https://www.reuters.com/sectors/industries/rankings?industryCode=170
Software;4294952827;57201020;https://www.reuters.com/sectors/industries/rankings?industryCode=174
Integrated Telecommunications Services;4294952823;58101010;https://www.reuters.com/sectors/industries/rankings?industryCode=178
Wireless Telecommunications Services;4294952822;58101020;https://www.reuters.com/sectors/industries/rankings?industryCode=179
Electric Utilities;4294952818;59101010;https://www.reuters.com/sectors/industries/rankings?industryCode=183
Natural Gas Utilities;4294952816;59102010;https://www.reuters.com/sectors/industries/rankings?industryCode=185
Multiline Utilities;4294952812;59104010;https://www.reuters.com/sectors/industries/rankings?industryCode=189
Oil & Gas Transportation Services;4294952811;50103030;https://www.reuters.com/sectors/industries/rankings?industryCode=190
Renewable Energy Equipment & Services;4294952809;50201010;https://www.reuters.com/sectors/industries/rankings?industryCode=192
Renewable Fuels;4294952808;50201020;https://www.reuters.com/sectors/industries/rankings?industryCode=193
Employment Services;4294952807;52203030;https://www.reuters.com/sectors/industries/rankings?industryCode=194
Business Support Services;4294952806;52203040;https://www.reuters.com/sectors/industries/rankings?industryCode=195
Business Support Supplies;4294952805;52203060;https://www.reuters.com/sectors/industries/rankings?industryCode=196
Home Furnishings Retailers;4294952796;53403030;https://www.reuters.com/sectors/industries/rankings?industryCode=205
Investment Banking & Brokerage Services;4294952794;55102010;https://www.reuters.com/sectors/industries/rankings?industryCode=207
Investment Management & Fund Operators;4294952793;55102020;https://www.reuters.com/sectors/industries/rankings?industryCode=208
Diversified Investment Services;4294952792;55102030;https://www.reuters.com/sectors/industries/rankings?industryCode=209
Real Estate Services;4294952787;55402020;https://www.reuters.com/sectors/industries/rankings?industryCode=214
Diversified REITs;4294952786;55403010;https://www.reuters.com/sectors/industries/rankings?industryCode=215
Commercial REITs;4294952785;55403020;https://www.reuters.com/sectors/industries/rankings?industryCode=216
Residential REITs;4294952784;55403030;https://www.reuters.com/sectors/industries/rankings?industryCode=217
Uranium;4294952775;50301010;https://www.reuters.com/sectors/industries/rankings?industryCode=226
Gold;4294952770;51201060;https://www.reuters.com/sectors/industries/rankings?industryCode=231
Electrical Components & Equipment;4294952764;52102030;https://www.reuters.com/sectors/industries/rankings?industryCode=237
Shipbuilding;4294952763;52102050;https://www.reuters.com/sectors/industries/rankings?industryCode=238
Construction & Engineering;4294952760;52201020;https://www.reuters.com/sectors/industries/rankings?industryCode=241
Professional Information Services;4294952758;52203070;https://www.reuters.com/sectors/industries/rankings?industryCode=243
Recreational Products;4294952743;53205020;https://www.reuters.com/sectors/industries/rankings?industryCode=258
